Frequency (B) (Hz),Peak to peak (A) (V),Normalized Peak to Peak (A) (V) ,Peak to peak (B) (V),"Phase (A, B) (°)",,,
10500.67,0.2431837,0.938762125,0.5893582,58.09607,,,
10500.67,0.2467116,0.952380879,0.5893582,58.09607,,,
10500.67,0.2431837,0.938762125,0.5848567,58.80288,,,
10501.75,0.2431837,0.938762125,0.5893582,58.55368,,,
10501.75,0.2431837,0.938762125,0.5893582,58.46889,,,
10500.67,0.2431837,0.938762125,0.5848567,58.1112,,,
11001.4,0.2467116,0.952380879,0.5578784,56.3367,,,
11000.7,0.2467116,0.952380879,0.5578784,56.06817,,,
11000.7,0.2449477,0.945571695,0.5533769,55.22425,,,
11000.7,0.2449477,0.945571695,0.5533769,55.6008,,,
11000.7,0.2484756,0.959190449,0.5578784,55.03582,,,
11000.7,0.2449477,0.945571695,0.5578784,55.3156,,,
11001.4,0.2449477,0.945571695,0.5578784,55.21375,,,
11001.4,0.2449477,0.945571695,0.5578784,55.48208,,,
11000.7,0.2449477,0.945571695,0.5578784,55.30992,,,
11000.7,0.2449477,0.945571695,0.5578784,55.30994,,,
11001.4,0.2467116,0.952380879,0.5578784,55.48773,,,
11000.7,0.2449477,0.945571695,0.5578784,55.49255,,,
11000.7,0.2449477,0.945571695,0.5578784,55.21861,,,
10998.57,0.2502335,0.965976471,0.5578784,55.20808,,,
10998.57,0.2449477,0.945571695,0.5578784,55.21861,,,
11001.4,0.2467116,0.952380879,0.5578784,55.4021,,,
11500.74,0.2467116,0.952380879,0.5218665,53.87607,,,
11500.79,0.2467116,0.952380879,0.5218665,54.62381,,,
11500.79,0.2484756,0.959190449,0.5218665,53.876,,,
11497.83,0.2467116,0.952380879,0.5218665,54.53036,,,
11500.79,0.2484756,0.959190449,0.5353709,54.15648,,,
11500.79,0.2467116,0.952380879,0.5218665,54.06297,,,
11500.79,0.2484756,0.959190449,0.5218665,53.50193,,,
11500.74,0.2484756,0.959190449,0.5218665,53.40447,,,
11500.79,0.2467116,0.952380879,0.5308695,54.06297,,,
11500.74,0.2467116,0.952380879,0.5218665,54.14491,,,
11500.79,0.2467116,0.952380879,0.5218665,54.43689,,,
11500.74,0.2484756,0.959190449,0.526368,54.60824,,,
11500.74,0.2467116,0.952380879,0.5218665,54.24996,,,
11500.74,0.2484756,0.959190449,0.5218665,53.77855,,,
11500.74,0.2484756,0.959190449,0.526368,53.50192,,,
11500.74,0.2467116,0.952380879,0.5218665,54.063,,,
11999.92,0.2484756,0.959190449,0.4993896,51.31211,,,
12000.77,0.2484756,0.959190449,0.4948882,51.21774,,,
12000.77,0.2467116,0.952380879,0.4993896,52.06787,,,
12000.77,0.2467116,0.952380879,0.4993896,51.97332,,,
11999.92,0.2519974,0.972785655,0.4993896,51.87878,,,
12000.77,0.2467116,0.952380879,0.5038911,51.97327,,,
12003,0.2502335,0.965976471,0.4948882,51.3121,,,
12000.77,0.2484756,0.959190449,0.4948882,51.12337,,,
12000.77,0.2484756,0.959190449,0.4948882,51.12342,,,
12000.77,0.2484756,0.959190449,0.4993896,51.21775,,,
12000.77,0.2519975,0.972786041,0.5038911,51.1397,,,
12000.77,0.2467116,0.952380879,0.4948882,52.06782,,,
12000.77,0.2484756,0.959190449,0.4993896,51.13971,,,
12003,0.2502335,0.965976471,0.4993896,51.21775,,,
12000.77,0.2502335,0.965976471,0.4993896,52.25705,,,
12000.77,0.2467116,0.952380879,0.4993896,52.35168,,,
12448.6,0.2502396,0.966000019,0.4858852,49.76334,,,
12500.8,0.2519974,0.972785655,0.4723808,51.05782,,,
12500.8,0.2484756,0.959190449,0.4678793,49.07431,,,
12500.8,0.2519975,0.972786041,0.4678793,49.60158,,,
12500.8,0.2484756,0.959190449,0.4678793,48.88256,,,
12502.01,0.2502396,0.966000019,0.4723808,49.7038,,,
12500.8,0.2484756,0.959190449,0.4723808,48.98446,,,
12502.01,0.2502335,0.965976471,0.4678793,48.98449,,,
12502.01,0.2484756,0.959190449,0.4678793,48.89472,,,
12502.01,0.2484756,0.959190449,0.4678793,49.0743,,,
12502.01,0.2484756,0.959190449,0.4678793,49.25397,,,
12500.8,0.2502396,0.966000019,0.4678793,49.78165,,,
12500.8,0.2484756,0.959190449,0.4678793,49.3438,,,
12500.8,0.2502396,0.966000019,0.4678793,49.16407,,,
12500.8,0.2502396,0.966000019,0.4678793,50.41292,,,
12500.8,0.2519975,0.972786041,0.4678793,49.52374,,,
13000.75,0.2502396,0.966000019,0.4454024,47.28867,,,
13000.83,0.2502396,0.966000019,0.4454024,47.2086,,,
13000.83,0.2502396,0.966000019,0.4499039,47.1986,,,
13000.83,0.2502396,0.966000019,0.4499039,47.20362,,,
13000.83,0.2537553,0.979571677,0.4454024,47.11248,,,
13000.83,0.2502396,0.966000019,0.4499039,47.29409,,,
13000.83,0.2519975,0.972786041,0.4454024,46.11901,,,
